|    name |     cenx |     ceny |      c1x |      c1y |      c2x |      c2y |      c3x |      c3y |      c4x |      c4y |   nx |   ny |    zerox |    zeroy |    xhatx |    xhaty |    yhatx |    yhaty |
| R12_S20 |   -42.25 |   -84.75 |   -62.73 |  -104.77 |   -21.77 |  -104.77 |   -21.77 |   -64.73 |   -62.73 |   -64.73 | 4096 | 4004 |  -62.725 | -104.765 |  -52.725 | -104.765 |  -62.725 |  -94.765 |
| R12_S21 |      0.0 |   -84.75 |   -20.48 |  -104.77 |    20.48 |  -104.77 |    20.48 |   -64.73 |   -20.48 |   -64.73 | 4096 | 4004 |  -20.475 | -104.765 |  -10.475 | -104.765 |  -20.475 |  -94.765 |
| R12_S22 |    42.25 |   -84.75 |    21.77 |  -104.77 |    62.73 |  -104.77 |    62.73 |   -64.73 |    21.77 |   -64.73 | 4096 | 4004 |   21.775 | -104.765 |   31.775 | -104.765 |   21.775 |  -94.765 |
| R13_S00 |    84.75 |  -169.25 |    64.27 |  -189.27 |   105.23 |  -189.27 |   105.23 |  -149.23 |    64.27 |  -149.23 | 4096 | 4004 |   64.275 | -189.265 |   74.275 | -189.265 |   64.275 | -179.265 |
| R13_S01 |    127.0 |  -169.25 |   106.52 |  -189.27 |   147.48 |  -189.27 |   147.48 |  -149.23 |   106.52 |  -149.23 | 4096 | 4004 |  106.525 | -189.265 |  116.525 | -189.265 |  106.525 | -179.265 |
| R13_S02 |   169.25 |  -169.25 |   148.77 |  -189.27 |   189.73 |  -189.27 |   189.73 |  -149.23 |   148.77 |  -149.23 | 4096 | 4004 |  148.775 | -189.265 |  158.775 | -189.265 |  148.775 | -179.265 |
| R13_S10 |    84.75 |   -127.0 |    64.27 |  -147.02 |   105.23 |  -147.02 |   105.23 |  -106.98 |    64.27 |  -106.98 | 4096 | 4004 |   64.275 | -147.015 |   74.275 | -147.015 |   64.275 | -137.015 |
| R13_S11 |    127.0 |   -127.0 |   106.52 |  -147.02 |   147.48 |  -147.02 |   147.48 |  -106.98 |   106.52 |  -106.98 | 4096 | 4004 |  106.525 | -147.015 |  116.525 | -147.015 |  106.525 | -137.015 |
| R13_S12 |   169.25 |   -127.0 |   148.77 |  -147.02 |   189.73 |  -147.02 |   189.73 |  -106.98 |   148.77 |  -106.98 | 4096 | 4004 |  148.775 | -147.015 |  158.775 | -147.015 |  148.775 | -137.015 |
| R13_S20 |    84.75 |   -84.75 |    64.27 |  -104.77 |   105.23 |  -104.77 |   105.23 |   -64.73 |    64.27 |   -64.73 | 4096 | 4004 |   64.275 | -104.765 |   74.275 | -104.765 |   64.275 |  -94.765 |
| R13_S21 |    127.0 |   -84.75 |   106.52 |  -104.77 |   147.48 |  -104.77 |   147.48 |   -64.73 |   106.52 |   -64.73 | 4096 | 4004 |  106.525 | -104.765 |  116.525 | -104.765 |  106.525 |  -94.765 |
| R13_S22 |   169.25 |   -84.75 |   148.77 |  -104.77 |   189.73 |  -104.77 |   189.73 |   -64.73 |   148.77 |   -64.73 | 4096 | 4004 |  148.775 | -104.765 |  158.775 | -104.765 |  148.775 |  -94.765 |
| R14_S00 |   211.75 |  -169.25 |   191.27 |  -189.27 |   232.23 |  -189.27 |   232.23 |  -149.23 |   191.27 |  -149.23 | 4096 | 4004 |  191.275 | -189.265 |  201.275 | -189.265 |  191.275 | -179.265 |
| R14_S01 |    254.0 |  -169.25 |   233.52 |  -189.27 |   274.48 |  -189.27 |   274.48 |  -149.23 |   233.52 |  -149.23 | 4096 | 4004 |  233.525 | -189.265 |  243.525 | -189.265 |  233.525 | -179.265 |
| R14_S02 |   296.25 |  -169.25 |   275.77 |  -189.27 |   316.73 |  -189.27 |   316.73 |  -149.23 |   275.77 |  -149.23 | 4096 | 4004 |  275.775 | -189.265 |  285.775 | -189.265 |  275.775 | -179.265 |
| R14_S10 |   211.75 |   -127.0 |   191.27 |  -147.02 |   232.23 |  -147.02 |   232.23 |  -106.98 |   191.27 |  -106.98 | 4096 | 4004 |  191.275 | -147.015 |  201.275 | -147.015 |  191.275 | -137.015 |
| R14_S11 |    254.0 |   -127.0 |   233.52 |  -147.02 |   274.48 |  -147.02 |   274.48 |  -106.98 |   233.52 |  -106.98 | 4096 | 4004 |  233.525 | -147.015 |  243.525 | -147.015 |  233.525 | -137.015 |
